('Wikipedia', 0.030783771437795555)
('International_Standard_Book_Number', 0.01725187172065618)
('United_States', 0.013132158415670654)
('Europe', 0.011234523606680745)
('Digital_object_identifier', 0.010437606467031164)
('Wayback_Machine', 0.00931654197361481)
('Latin', 0.008274282164112556)
('English_language', 0.007026448373506541)
('Japan', 0.006733073346850592)
('Russia', 0.006728125925572247)
('Spanish_language', 0.006533006894148689)
('Geographic_coordinate_system', 0.006357384055832691)
('DMOZ', 0.006318086358954051)
('India', 0.0063132916730035534)
('Linux', 0.005972049943245473)
('Canada', 0.005866793063607953)
('France', 0.005755162120767971)
('Spain', 0.005715393737128356)
('Wikidata', 0.005665384645866646)
('Geography', 0.005059937082637645)
('Italy', 0.0048709694214220745)
('United_Kingdom', 0.00480415457580742)
('French_language', 0.004793150856890035)
('Wikisource', 0.004670108741461358)
('Africa', 0.0046448510256497785)
('Germany', 0.004575769737896622)
('United_Nations', 0.0044036695966652075)
('JSTOR', 0.004368914560521474)
('Brazil', 0.0043682870920669975)
('European_Union', 0.004353006463096981)
('Romania', 0.004315810948696324)
('Egypt', 0.004308678486401149)
('German_language', 0.0042889962131748595)
('Australia', 0.004248619029124376)
('Equator', 0.004203286171562233)
('China', 0.0041468836687949566)
('Mexico', 0.004077098407957264)
('Argentina', 0.0038691462403650572)
('ISO_639-1', 0.0038404365811345585)
('ISO_639-3', 0.0037949649515107357)
('Malta', 0.003682849802534979)
('Mars', 0.0035781696549084343)
('Luxembourg', 0.0034225893565507344)
('Bulgaria', 0.003406980437420656)
('Austria', 0.003356180128415398)
('Italian_language', 0.003338368246569631)
('ISO_639-2', 0.0033188495191362037)
('New_Zealand', 0.0032995804018889625)
('Lithuania', 0.0032526553634060246)
('Portugal', 0.0032081048330401918)
